timestamp: 2026-04-11 13:09:55
snapshot_tag: 20260411_083117_843fe3a41e75
seed: 3
profile: solid
cfg_name: C0_hard
cfg: {"iid_n_occluders_max": 6, "iid_n_occluders_min": 2, "iid_occ_size_max": 6, "iid_occ_size_min": 3, "img_size": 32, "ood_center_radius": 14, "ood_noise_occluders": 2, "ood_noise_radius": 3, "thickness_max": 4, "thickness_min": 2}
self_sha256: 72112815e9184c7a4ce8a297d161456162e10d9f6b3409af991e3216f7da74cf
cmd: /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/snapshots/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/aslmt_train_law_v5b_amodal_localclass_family_20260411_083117_843fe3a41e75.py --snapshot-tag 20260411_083117_843fe3a41e75 --seed 3 --profile solid --device cuda --cfg-name C0_hard --out-jsonl /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/runs/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/master_20260411_083117_843fe3a41e75.jsonl --out-txt /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/runs/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/log_20260411_083117_843fe3a41e75_C0_hard_seed3.txt
baselines: ["B1_local_fcn", "B2_local_fcn_wide_rf9", "B3_window_mlp8"]
step 1/30000 A.seg=0.7179 A.jepa=0.4992 | B_last.seg=0.6948
step 2000/30000 A.seg=0.0189 A.jepa=-0.7657 | B_last.seg=0.2296
step 4000/30000 A.seg=0.0099 A.jepa=-0.7498 | B_last.seg=0.2370
step 6000/30000 A.seg=0.0041 A.jepa=-0.7604 | B_last.seg=0.2301
step 8000/30000 A.seg=0.0072 A.jepa=-0.7667 | B_last.seg=0.2170
step 10000/30000 A.seg=0.0069 A.jepa=-0.7898 | B_last.seg=0.2178
step 12000/30000 A.seg=0.0050 A.jepa=-0.7691 | B_last.seg=0.2168
step 14000/30000 A.seg=0.0037 A.jepa=-0.7676 | B_last.seg=0.2283
step 16000/30000 A.seg=0.0021 A.jepa=-0.7751 | B_last.seg=0.2142
step 18000/30000 A.seg=0.0058 A.jepa=-0.7757 | B_last.seg=0.2129
step 20000/30000 A.seg=0.0030 A.jepa=-0.7867 | B_last.seg=0.2241
step 22000/30000 A.seg=0.0039 A.jepa=-0.8060 | B_last.seg=0.2209
step 24000/30000 A.seg=0.0033 A.jepa=-0.7812 | B_last.seg=0.2183
step 26000/30000 A.seg=0.0093 A.jepa=-0.7798 | B_last.seg=0.2125
step 28000/30000 A.seg=0.0054 A.jepa=-0.7848 | B_last.seg=0.2157
step 30000/30000 A.seg=0.0078 A.jepa=-0.7707 | B_last.seg=0.2151
